10000 6000 10000
0 70;46;0;5692;9871
1 99;97;0;2896;323
2 61;48;8157;3194;3601
3 99;64;0;5911;1502
4 49;76;2029;184;5533
5 56;9;1161;1964;655
6 72;0;1694;4520;6359
7 7;70;5009;5867;79
8 49;55;1277;9094;0
9 7;46;0;3222;1789
10 16;33;1389;9715;2294
11 55;86;0;9114;1941
12 14;76;0;2780;631
13 77;69;8466;6121;6832
14 81;30;2299;6429;5504
15 63;93;9177;8857;4745
16 96;6;9354;0;8739
17 59;88;8959;5836;8245
18 90;91;3784;7371;1462
19 78;0;1304;3801;0
20 2;88;2347;7718;0
21 58;48;0;288;1713
22 50;79;4046;0;6630
23 18;72;5276;7814;0
24 0;90;7576;5169;0
25 26;18;0;4156;6625
26 82;89;6206;8590;9134
27 14;64;2403;4648;0
28 74;97;700;5923;1855
29 20;17;0;8819;2317
30 7;22;487;8510;0
31 52;20;9802;3403;743
32 16;87;0;7525;1221
33 20;54;5677;4628;46
34 62;64;0;7092;2334
35 30;41;0;1605;610
36 29;74;5390;37;0
37 19;96;730;3003;0
38 25;44;1036;1662;0
39 89;3;5365;1107;1001
40 67;48;0;9247;3649
41 46;28;501;6352;7910
42 92;47;8027;1815;0
43 15;28;0;5203;2147
44 52;79;0;2814;730
45 96;63;0;7029;2001
46 94;15;3238;5997;7374
47 2;11;2789;8951;3955
48 3;43;757;4045;2061
49 94;34;4142;5723;3674
50 29;76;0;895;1406
51 85;59;5060;3008;7529
52 88;42;0;2429;1797
53 82;89;2000;8481;0
54 56;17;5153;6751;3635
55 49;35;4862;5410;0
56 67;49;350;9748;1102
57 25;1;1820;7977;3360
58 37;77;0;8776;4261
59 95;40;4876;6113;6358
60 36;52;2007;3138;0
61 52;44;6131;8526;9672
62 62;74;186;7167;1904
63 94;61;0;2173;5554
64 26;49;3261;557;2450
65 80;89;4763;2598;193
66 29;0;553;3023;0
67 40;42;0;7449;1661
68 48;13;5496;5531;1412
69 51;85;3409;0;1542
70 79;4;1339;1364;0
71 48;35;0;778;9462
72 57;33;6095;8207;0
73 98;36;3578;4262;0
74 55;77;7880;2322;5941
75 76;15;0;5085;8124
76 44;11;0;2922;10
77 83;4;9010;1943;5914
78 25;97;920;8130;0
79 64;64;0;3582;4906
80 91;50;5609;8918;422
81 73;75;1995;8821;0
82 89;34;0;644;1757
83 90;52;7472;0;6909
84 4;94;0;7994;312
85 78;52;0;6315;6038
86 70;12;3846;5519;0
87 87;64;0;9192;1359
88 26;64;0;5609;8761
89 81;1;9939;4530;9819
90 46;27;1846;7870;22
91 98;46;4465;8829;230
92 24;0;2554;1341;323
93 7;49;2097;6390;2242
94 31;4;7621;5949;0
95 76;55;6195;2374;0
96 4;73;600;6762;0
97 80;51;4528;5804;8648
98 17;59;382;5211;0
99 29;80;6235;4657;0
100 36;10;0;5339;1294
101 66;5;0;2388;4404
